主播名称,直播类型,观众数量
企鹅跳转专用16,企鹅直播,0
骚白,王者荣耀,310万
指法芬芳张大仙,王者荣耀,208万
清谭洞主,DOTA2,150万
Xleft小叮当,绝地求生,135万
冯提莫,英雄联盟,129万
陈一发儿,主机游戏,118万
yyfyyf,DOTA2,113万
东北大鹌鹑,英雄联盟,110万
阿冷aleng丶,英雄联盟,98.8万
pigff,绝地求生,91.2万
英雄联盟官方赛事,英雄联盟,87.6万
呆妹儿小霸王,绝地求生,73.6万
气人主播QQQ,绝地求生,60.5万
狐狸不太Sao,绝地求生,51万
洞主丨歌神洞庭湖,英雄联盟,47.4万
DL丶拖米,王者荣耀,44.2万
赛文柒Seven,户外,43.3万
解放大官人,绝地求生,39.9万
彡彡九户外,户外,39.7万
Happy丨猫腻,绝地求生,37.6万
寅子,主机游戏,35.6万
纳豆nado,二次元,32.2万
青青青青青青山,QQ飞车,32.1万
叫我久哥哥,英雄联盟,29.8万
B总001,音乐,29.8万
Pc冷冷,绝地求生,29万
scboy,星际争霸,27.7万
炉石丶啦啦啦,炉石传说,25.7万
陈翔六点半,鱼教,25.7万
ice秋风,火影忍者,23.7万
水冰钥,颜值,23.3万
可爱的埋埋,二次元,19.2万
TD丶正直博,户外,18.9万
Piano小詩,颜值,18.2万
只有十五岁的涛妹,炉石传说,17.9万
九日98号技师,王者荣耀,17.3万
王者之路乌鸦,火影忍者,17万
主播海涛,户外,16.4万
叶音符,英雄联盟,15.9万
云彩上的翅膀,DNF,15.8万
47号Gamer,绝地求生,15.8万
Agiroy4712,绝地求生,15.4万
贝拉小姐姐,二次元,15.2万
暴雪游戏频道,炉石传说,15万
斯祥丶,绝地求生,15万
刘飞儿faye,绝地求生,14.9万
总裁丹,颜值,14.6万
竹内條條,二次元,14.3万
十二月老铁,颜值,14.2万
炉石丶春哥,炉石传说,14万
顶级菊宝a,绝地求生,14万
小子y,英雄联盟,13.7万
老乡开下门,户外,13.7万
250帅比在石250,户外,13.4万
JSA丶北京小王哥,户外,13.3万
巨乳萌妹加夕夕,绝地求生,12.7万
小儿郎丶丶,梦幻西游手游,12.5万
葫芦村的小祖宗奶葫芦,颜值,12.4万
Jing靖哥哥,绝地求生,11.2万
小白鸽WhiteDove,DOTA2,11万
黄金大奖赛,绝地求生,10.8万
仙凡哥哥丶,英雄联盟,10.8万
卖血哥,音乐,10.7万
白白白白白3,王者荣耀,10.4万
小小青蛙笑i,王者荣耀,10.1万
三笠ackerman丶1,绝地求生,10.1万
LoveAcFun包子,英雄联盟,10万
Nostalie,怪物猎人 世界,9.9万
余小C真的很强,英雄联盟,9.8万
小6想去月球,颜值,9.7万
Hi丶兜仔,颜值,9.5万
赏金术士2018,英雄联盟,9.2万
菟菟萌酱,二次元,9.2万
阿科哥,户外,9.1万
暗杠小发,二次元,8.9万
靓旭,棋牌娱乐,8.8万
王筱沫丶,颜值,8.8万
魅力生活i,美食,8.7万
宝儿宝贝儿儿,颜值,8.6万
cool无状态y,英雄联盟,8.5万
Yoruer,绝地求生,8.3万
LC丹丹,音乐,8.3万
想唱歌给你听的素右右,颜值,8.2万
叶子户外,颜值,8.1万
小刘_qq,DOTA2,8万
菠萝赛东,二次元,7.9万
不死鸟3DM,主机游戏,7.8万
七哥张琪格,炉石传说,7.8万
灵魂刀神,音乐,7.7万
主播阿郎,户外,7.6万
澄海TMac,户外,7.5万
威海孙小乔,美食,7.4万
胖胖灬,英雄联盟,7.3万
1K黄辉冯,绝地求生,7.3万
雪儿圆圆圆,二次元,7.3万
罗西基,炉石传说,7万
薇薇酱哦,颜值,6.9万
07林七,星娱,6.7万
高冷丑男暖心囧,绝地求生,6.7万
逆风笑的直播间,主机游戏,6.7万
张雪峰老师,科普,6.6万
萨摩小姐姐,绝地求生,6.6万
美食老王,美食,6.6万
MoMo0130,英雄联盟,6.6万
开超市的丶社会王,户外,6.5万
摩卡加冰丶,绝地求生,6.5万
法拉利的直播间,狼人杀专区,6.5万
绯绯的小音符,二次元,6.2万
dnf冷寨主,DNF,6.2万
Infi小王,魔兽争霸,6.1万
骚乖可爱宝贝朴,二次元,6万
柠导,英雄联盟,6万
iu可可曾,音乐,5.9万
全能王拉哥300401,穿越火线,5.9万
14yearsold天残少年K9,DOTA2,5.8万
棒老三,魔兽世界,5.8万
午夜锦年,QQ飞车,5.7万
游戏风云小熊喵,怪物猎人 世界,5.7万
喵喵橙Miranda,颜值,5.6万
棒老三,魔兽世界,5.7万
王雨檬呀,绝地求生,5.6万
午夜锦年,QQ飞车,5.5万
黑白锐雯,英雄联盟,5.5万
大帝LioN,魔兽争霸,5.5万
酸酸酸奶君,绝地求生,5.5万
游戏风云小熊喵,怪物猎人 世界,5.5万
梦醒丨,主机游戏,5.5万
智障味萝莉,绝地求生,5.3万
牛奶酱不酱,绝地求生,5.3万
鲜肉赵山河,穿越火线,5.3万
威海高哥587997,美食,5.2万
窝瓜女神jing,音乐,5.2万
胖头鱼先生丶,户外,5.2万
青蘇,绝地求生,5.1万
主播推推棒,绝地求生,5万
魅琦,颜值,5万
单车老师不迟到,绝地求生,4.9万
安徽小学生丶,格斗游戏,4.9万
G奶三姐,颜值,4.9万
小马锅马杰,火影忍者,4.9万
小果汁hyr,颜值,4.9万
丁叮c,颜值,4.9万
十三三三,主机游戏,4.8万
北木原,颜值,4.8万
SherlcokHolmes,穿越火线,4.8万
龍骑士丶钟儿,户外,4.7万
贱魔神,王者荣耀,4.7万
浩博欧巴,绝地求生,4.6万
两仪未娜丶,怪物猎人 世界,4.6万
长勇丶,美食,4.6万
美美干嘛呢,绝地求生,4.5万
蓝枫BLUE,荒岛特训,4.5万
开播了讲一声,户外,4.5万
教练JoKer,英雄联盟,4.5万
宋先生,怀旧游戏,4.4万
涂鸦酱Q,主机游戏,4.4万
雷疯小叔,棋牌娱乐,4.3万
CSGO解说伟伟,CS:GO,4.3万
也哥yege,颜值,4.3万
骚易丶,王者荣耀,4.3万
创业队长,正能量,4.2万
神机小诸葛,棋牌娱乐,4.2万
梆硬哥GOD,绝地求生,4.1万
薰衣草JJ,星娱,4.1万
周卓伦,音乐,4.1万
我都想笑了,颜值,4.1万
慕一cc,音乐,4.1万
主播AJ,楚留香,4.1万
chere七七,二次元,4.1万
懒癌少女丶七七,主机游戏,4.1万
胖胖C,美食,4万
主播杨树,主机游戏,4万
豆豆uiui,颜值,4万
唯妮Winny,穿越火线,4万
航空鸣圣,皇室战争,4万
深山大咖,美食,3.9万
小呆萝拉Lola,二次元,3.9万
解小亮,绝地求生,3.9万
刘灶灶,二次元,3.9万
Oo大哥洁oO,颜值,3.9万
